Feature,Importance
station_netflow_rate,7.097254276275635
ocu,5.9856343269348145
ocu_lag_1,2.65736722946167
station_turnover_rate,1.5958104133605957
is_operating,1.5782352685928345
ocu_lag_138,1.513596773147583
time_cos,0.9917674660682678
time_sin,0.9439769983291626
ocu_trend_2,0.8312893509864807
ocu_lag_6,0.759611189365387
ocu_lag_2,0.7490070462226868
day_sin,0.6671198606491089
ocu_trend_1,0.6638805866241455
is_weekend,0.6512035131454468
ocu_trend_6,0.5955413579940796
utm_x,0.5447060465812683
utm_y,0.48903703689575195
ocu_lag_144,0.47862401604652405
day_cos,0.4666281044483185
is_holiday,0.44369977712631226
finance_pois_300m,0.41207584738731384
hotels_pois_300m,0.3980239927768707
ocu_lag_12,0.3948206603527069
capacity,0.3518463969230652
ocu_trend_12,0.34981217980384827
ids_300m,0.33805572986602783
sport_recreation_pois_300m,0.33527252078056335
food_pois_300m,0.3307220935821533
temperature_2m,0.30773189663887024
ids_population_300m,0.28123050928115845
transit_stations_300m,0.28103622794151306
culture_pois_300m,0.2562987804412842
drink_pois_300m,0.2423906773328781
health_pois_300m,0.23437434434890747
transit_nearest_station_m,0.2289198487997055
relative_humidity_2m,0.22815948724746704
commerce_pois_300m,0.2245761603116989
surface_pressure,0.21770775318145752
rain,0.2109542340040207
education_pois_300m,0.2078770101070404
cloud_cover,0.14461983740329742
wind_speed_10m,0.13927200436592102
